system:index,b1,b2,b3,.geo
267,31,138,78,"{""type"":""Point"",""coordinates"":[20.484042779165634,44.735648715662336]}"
268,220,216,40,"{""type"":""Point"",""coordinates"":[20.323415026867153,44.795388686519004]}"
269,58,191,114,"{""type"":""Point"",""coordinates"":[20.39309926631299,44.782320117184156]}"
270,36,135,141,"{""type"":""Point"",""coordinates"":[20.545986817839523,44.86753457356901]}"
271,119,206,73,"{""type"":""Point"",""coordinates"":[20.332748457466266,44.87835242933012]}"
272,166,212,57,"{""type"":""Point"",""coordinates"":[20.409677828575465,44.75538155261841]}"
273,150,137,11,"{""type"":""Point"",""coordinates"":[20.370534365912043,44.85482096857628]}"
274,34,137,139,"{""type"":""Point"",""coordinates"":[20.467929776366677,44.86368598170294]}"
275,42,116,141,"{""type"":""Point"",""coordinates"":[20.569129616852408,44.86751387313976]}"
276,150,217,63,"{""type"":""Point"",""coordinates"":[20.337998617844555,44.79401433147935]}"
277,122,207,73,"{""type"":""Point"",""coordinates"":[20.310533975256472,44.815178529412414]}"
278,42,116,141,"{""type"":""Point"",""coordinates"":[20.551158859587417,44.884133056240834]}"
279,47,101,139,"{""type"":""Point"",""coordinates"":[20.494136567128425,44.731425120834615]}"
280,34,137,139,"{""type"":""Point"",""coordinates"":[20.51555600811432,44.831961574777885]}"
281,42,117,141,"{""type"":""Point"",""coordinates"":[20.53603078921162,44.87629811839993]}"
282,36,135,141,"{""type"":""Point"",""coordinates"":[20.33580152023879,44.741243239809535]}"
283,42,116,141,"{""type"":""Point"",""coordinates"":[20.51532744814491,44.89243365407491]}"
284,58,140,82,"{""type"":""Point"",""coordinates"":[20.35617651324764,44.74928015626194]}"
285,37,135,140,"{""type"":""Point"",""coordinates"":[20.535348836866145,44.84060215128643]}"
286,100,183,88,"{""type"":""Point"",""coordinates"":[20.347655563612992,44.849724882250364]}"
287,36,135,141,"{""type"":""Point"",""coordinates"":[20.334223871141837,44.838682874395325]}"
288,60,94,141,"{""type"":""Point"",""coordinates"":[20.55400685625596,44.808761895760554]}"
289,82,178,122,"{""type"":""Point"",""coordinates"":[20.465916633952318,44.734929300363234]}"
290,31,153,138,"{""type"":""Point"",""coordinates"":[20.31874611026478,44.832323145462524]}"
291,183,106,22,"{""type"":""Point"",""coordinates"":[20.401188922713633,44.81642487305829]}"
292,152,203,75,"{""type"":""Point"",""coordinates"":[20.507642267038715,44.790670596497016]}"
293,37,143,130,"{""type"":""Point"",""coordinates"":[20.470431976655583,44.85993686970766]}"
294,224,243,196,"{""type"":""Point"",""coordinates"":[20.36380941602823,44.883321665173796]}"
295,221,218,30,"{""type"":""Point"",""coordinates"":[20.475379722717523,44.84801577472558]}"
296,43,116,142,"{""type"":""Point"",""coordinates"":[20.398905880011192,44.86407651199576]}"
297,88,183,106,"{""type"":""Point"",""coordinates"":[20.452596996781473,44.734715016016835]}"
298,36,142,78,"{""type"":""Point"",""coordinates"":[20.41750977171933,44.791089505504324]}"
299,37,122,127,"{""type"":""Point"",""coordinates"":[20.56243392637929,44.80462520873673]}"
300,174,166,12,"{""type"":""Point"",""coordinates"":[20.410008679978727,44.754022746831566]}"
301,45,138,111,"{""type"":""Point"",""coordinates"":[20.53571320629776,44.75692595496442]}"
